PDOP (bad): 5.15
    CN0_dBHz       RMSE_LS_m           CRB_2SP_m           RMSE_DPE_m          CRB_DPE_m    
    ________    ________________    ________________    ________________    ________________

       30        464055.19355537     331.94587270502    4284.07695114612    115.464005876632
       31       444936.830094055    295.847070457969    2504.41988416038    102.907403558228
       32       413931.262079409    263.673979089787    1156.46253668204    91.7163199621789
       33       413193.807983566    234.999681225229    1023.74305366086    81.7422562084667
       34       419930.146378265    209.443686353117      132.7999138691    72.8528625309649
       35       340011.372639533    186.666881948406    135.130908676309    64.9301820764513
       36       312326.582731676    166.367033655019    71.4851400322729    57.8690856888321
       37       258945.737424253    148.274774819564    55.5782162559261    51.5758769091138
       38       184188.399808477    132.150032159506    50.4332938145553    45.9670486803182
       39       90514.0655941734    117.778840136565    48.4277135200307    40.9681752595732
       40       42717.7003600155    104.970501764017    41.0654961868093    36.5129246337223
       41       56594.7894190135    93.5550581735511    37.4777328248535    32.5421783338117
       42       90.4623594803387    83.3810333643342    33.7169643946058    29.0032469689254
       43       86.2996995559503    74.3134242085234    29.6188175182823    25.8491710699794
       44         65.56546298866    66.2319090417777    23.8091678009357    23.0380979660989
       45       68.8235563849715    59.0292510678727    23.5088243967134    20.5327264251027
       46       59.3179566869981    52.6098753915744    21.6555371498326    18.2998116888164
       47       53.4502872941462    46.8886007978401    18.8047334075693    16.3097243353285
       48       50.2223227836988    41.7895094488538    17.9388328815039    14.5360571145643
       49       45.7916093432423      37.24493950044    16.6633169303037    12.9552745401211
       50        41.780002568845    33.1945872705017    15.0375276909522    11.5464005876632
