PDOP (good): 1.97
    CN0_dBHz       RMSE_LS_m           CRB_2SP_m           RMSE_DPE_m          CRB_DPE_m    
    ________    ________________    ________________    ________________    ________________

       30       179676.198868395    122.875419878375     3434.8825429501    65.3375901342199
       31       179850.829557641     109.51283324018    2184.19707006277    58.2321885025217
       32       173965.888480022    97.6034153629948    1040.76695530982    51.8994926324536
       33        168337.32622107    86.9891355073266    240.485889567422    46.2554714973396
       34       168510.125995874    77.5291486283485     58.534882558047    41.2252323658227
       35       141954.889374698    69.0979264477261    49.9978650175819    36.7420270208211
       36       125655.223400254    61.5835917696325    41.4769242094284    32.7463660512423
       37       99955.4259327191    54.8864339383306    38.1430388661548    29.1852294636407
       38       81974.7206849429    48.9175857383529    33.0664751821844    26.0113631391184
       39       56192.6164300693    43.5978441805449    32.6928644423335    23.1826517998768
       40       38363.3343820501    38.8566195265196    30.2657820278273    20.6615601650682
       41       25455.9866247935    34.6309986057166    27.8323490098357    18.4146348804238
       42       16696.9833907169    30.8649099958533    26.9479266268578    16.4120606125681
       43       7649.44802290029    27.5083799892179    25.2625474593439    14.6272644176592
       44       3903.01721345583      24.51686947193    24.2749686991689    13.0365631345692
       45       5324.14169501379    21.8506829169602     23.257443093209    11.6188491237246
       46        29.413597041035    19.4744416486038    23.0515976340981     10.355310181554
       47       28.0722818494367     17.356614388949     22.257455569077    9.22917991397589
       48       26.1551458451533    15.4690988569765     21.900290083985    8.22551525653614
       49       25.5786823760914    13.7868488683639    21.3580938001805    7.33099818902127
       50       24.1411070269505    12.2875419878375    21.1925226366316    6.53375901342199

>> 
